DATE,VALUE
2017-04-28,48.450001
2017-04-27,48.080002
2017-04-26,48.400002
2017-04-25,48.290001
2017-04-24,47.889999
2017-04-21,47.73
2017-04-20,47.25
2017-04-19,47.599998
2017-04-18,47.25
2017-04-17,47.02
2017-04-13,46.849998
2017-04-12,46.799999
2017-04-11,47.029999
2017-04-10,46.490002
2017-04-07,46.23
2017-04-06,46.380001
2017-04-05,46.41
2017-04-04,46.299999
2017-04-03,46.5
2017-03-31,46.52
2017-03-30,46.799999
2017-03-29,46.52
2017-03-28,46.330002
2017-03-27,45.919998
2017-03-24,46.650002
2017-03-23,46.130001
2017-03-22,45.610001
2017-03-21,47.0
2017-03-20,46.619999
2017-03-17,46.73
2017-03-16,46.599998
2017-03-15,46.549999
2017-03-14,46.41
2017-03-13,46.099998
2017-03-10,46.200001
2017-03-09,45.869999
2017-03-08,45.849998
2017-03-07,45.5
2017-03-06,45.610001
2017-03-03,45.880001
2017-03-02,46.02
2017-03-01,45.889999
2017-02-28,45.57
2017-02-27,45.450001
2017-02-24,45.139999
2017-02-23,46.040001
2017-02-22,45.470001
2017-02-21,45.220001
2017-02-17,44.950001
2017-02-16,45.650002
2017-02-15,45.029999
2017-02-14,45.380001
2017-02-13,45.080002
2017-02-10,45.150002
2017-02-09,44.950001
2017-02-08,44.5
2017-02-07,44.43
2017-02-06,43.619999
2017-02-03,43.900002
2017-02-02,43.630001
2017-02-01,44.25
2017-01-31,43.779999
2017-01-30,44.220001
2017-01-27,44.540001
2017-01-26,44.830002
2017-01-25,44.110001
2017-01-24,43.650002
2017-01-23,41.950001
2017-01-20,42.330002
2017-01-19,42.049999
2017-01-18,42.150002
2017-01-17,42.060001
2017-01-13,42.110001
2017-01-12,42.34
2017-01-11,42.27
2017-01-10,41.889999
2017-01-09,41.169998
2017-01-06,41.25
2017-01-05,40.310001
2017-01-04,39.0
2017-01-03,39.110001
2016-12-30,38.720001
2016-12-29,38.759998
2016-12-28,39.119999
2016-12-27,38.59
2016-12-23,38.459999
2016-12-22,38.689999
2016-12-21,39.080002
2016-12-20,38.400002
2016-12-19,38.66
2016-12-16,38.619999
2016-12-15,40.0
2016-12-14,41.439999
2016-12-13,41.349998
2016-12-12,41.450001
2016-12-09,41.52
2016-12-08,40.66
2016-12-07,39.98
2016-12-06,40.310001
2016-12-05,40.02
2016-12-02,39.77
2016-12-01,41.0
2016-11-30,41.619999
2016-11-29,41.43
2016-11-28,40.849998
2016-11-25,41.080002
2016-11-23,40.91
2016-11-22,41.200001
2016-11-21,41.439999
2016-11-18,41.48
2016-11-17,41.34
2016-11-16,40.099998
2016-11-15,39.610001
2016-11-14,40.360001
2016-11-11,39.84
2016-11-10,41.549999
2016-11-09,40.439999
2016-11-08,40.970001
2016-11-07,41.169998
2016-11-04,39.959999
2016-11-03,40.619999
2016-11-02,41.799999
2016-11-01,41.130001
2016-10-31,42.029999
2016-10-28,42.029999
2016-10-27,42.310001
2016-10-26,42.259998
2016-10-25,42.720001
2016-10-24,42.5
2016-10-21,42.099998
2016-10-20,42.689999
2016-10-19,42.299999
2016-10-18,42.040001
2016-10-17,41.349998
2016-10-14,42.040001
2016-10-13,42.0
2016-10-12,42.599998
2016-10-11,43.869999
2016-10-10,43.360001
2016-10-07,43.259998
2016-10-06,43.639999
2016-10-05,43.23
2016-10-04,43.200001
2016-10-03,42.950001
2016-09-30,42.740002
2016-09-29,43.169998
2016-09-28,43.400002
2016-09-27,42.43
2016-09-26,42.380001
2016-09-23,43.5
2016-09-22,43.939999
2016-09-21,42.889999
2016-09-20,43.240002
2016-09-19,43.919998
2016-09-16,43.939999
2016-09-15,43.41
2016-09-14,42.91
2016-09-13,43.189999
2016-09-12,42.279999
2016-09-09,43.919998
2016-09-08,44.07
2016-09-07,44.549999
2016-09-06,43.5
2016-09-02,43.27
2016-09-01,42.779999
2016-08-31,42.459999
2016-08-30,42.279999
2016-08-29,42.200001
2016-08-26,42.150002
2016-08-25,41.830002
2016-08-24,42.5
2016-08-23,42.610001
2016-08-22,42.84
2016-08-19,42.799999
2016-08-18,42.689999
2016-08-17,42.389999
2016-08-16,42.299999
2016-08-15,43.18
2016-08-12,41.279999
2016-08-11,41.119999
2016-08-10,39.34
2016-08-09,39.240002
2016-08-08,39.0
2016-08-05,39.0
2016-08-04,38.470001
2016-08-03,38.43
2016-08-02,38.599998
2016-08-01,38.18
2016-07-29,38.470001
2016-07-28,38.580002
2016-07-27,38.66
2016-07-26,38.07
2016-07-25,39.200001
2016-07-22,38.900002
2016-07-21,39.009998
2016-07-20,38.360001
2016-07-19,37.77
2016-07-18,37.68
2016-07-15,38.16
2016-07-14,37.849998
2016-07-13,37.990002
2016-07-12,38.0
2016-07-11,37.439999
2016-07-08,37.529999
2016-07-07,37.57
2016-07-06,37.43
2016-07-05,37.68
2016-07-01,37.560001
2016-06-30,36.889999
2016-06-29,36.25
2016-06-28,35.580002
2016-06-27,35.869999
2016-06-24,36.400002
2016-06-23,37.639999
2016-06-22,37.369999
2016-06-21,37.369999
2016-06-20,37.27
2016-06-17,37.43
2016-06-16,37.389999
2016-06-15,37.43
2016-06-14,36.630001
2016-06-13,36.700001
2016-06-10,36.970001
2016-06-09,36.82
2016-06-08,36.84
2016-06-07,36.900002
2016-06-06,36.669998
2016-06-03,37.110001
2016-06-02,36.66
2016-06-01,37.25
2016-05-31,37.73
2016-05-27,36.880001
2016-05-26,36.130001
2016-05-25,36.630001
2016-05-24,36.849998
2016-05-23,36.459999
2016-05-20,36.049999
2016-05-19,36.939999
2016-05-18,37.09
2016-05-17,37.439999
2016-05-16,37.029999
2016-05-13,36.91
2016-05-12,37.389999
2016-05-11,37.279999
2016-05-10,37.169998
2016-05-09,36.970001
2016-05-06,36.549999
2016-05-05,37.060001
2016-05-04,35.810001
2016-05-03,36.25
2016-05-02,36.650002
2016-04-29,36.509998
2016-04-28,36.84
2016-04-27,37.52
2016-04-26,37.32
2016-04-25,37.470001
2016-04-22,37.5
2016-04-21,37.919998
2016-04-20,37.099998
2016-04-19,36.459999
2016-04-18,36.240002
2016-04-15,37.130001
2016-04-14,37.470001
2016-04-13,36.939999
2016-04-12,36.650002
2016-04-11,36.380001
2016-04-08,36.849998
2016-04-07,35.860001
2016-04-06,36.400002
2016-04-05,36.700001
2016-04-04,36.549999
2016-04-01,36.540001
2016-03-31,36.509998
2016-03-30,36.610001
2016-03-29,35.049999
2016-03-28,35.389999
2016-03-24,34.450001
2016-03-23,35.43
2016-03-22,34.68
2016-03-21,35.0
2016-03-18,34.540001
2016-03-17,33.880001
2016-03-16,33.029999
2016-03-15,33.32
2016-03-14,33.75
2016-03-11,33.290001
2016-03-10,33.59
2016-03-09,33.09
2016-03-08,33.66
2016-03-07,33.68
2016-03-04,32.91
2016-03-03,32.709999
2016-03-02,32.810001
2016-03-01,32.040001
2016-02-29,31.309999
2016-02-26,31.68
2016-02-25,30.74
2016-02-24,30.41
2016-02-23,31.200001
2016-02-22,30.65
2016-02-19,30.190001
2016-02-18,29.559999
2016-02-17,29.469999
2016-02-16,27.98
2016-02-12,27.120001
2016-02-11,26.459999
2016-02-10,27.110001
2016-02-09,26.639999
2016-02-08,27.610001
2016-02-05,29.059999
2016-02-04,27.91
2016-02-03,28.450001
2016-02-02,29.32
2016-02-01,29.27
2016-01-29,29.1
2016-01-28,30.59
2016-01-27,29.9
2016-01-26,29.76
2016-01-25,29.959999
2016-01-22,29.969999
2016-01-21,28.75
2016-01-20,28.98
2016-01-19,29.84
2016-01-15,29.280001
2016-01-14,29.690001
2016-01-13,30.889999
2016-01-12,30.58
2016-01-11,30.65
2016-01-08,30.51
2016-01-07,30.969999
2016-01-06,31.67
2016-01-05,31.549999
2016-01-04,32.119999
2015-12-31,33.220001
2015-12-30,33.849998
2015-12-29,33.630001
2015-12-28,33.900002
2015-12-24,34.189999
2015-12-23,34.240002
2015-12-22,32.990002
2015-12-21,33.119999
2015-12-18,33.099998
2015-12-17,33.810001
2015-12-16,33.150002
2015-12-15,32.529999
2015-12-14,32.939999
2015-12-11,34.009998
2015-12-10,34.490002
2015-12-09,35.799999
2015-12-08,34.240002
2015-12-07,34.759998
2015-12-04,34.34
2015-12-03,35.59
2015-12-02,35.0
2015-12-01,33.869999
2015-11-30,33.029999
2015-11-27,32.790001
2015-11-25,32.77
2015-11-24,33.09
2015-11-23,33.0
2015-11-20,32.860001
2015-11-19,33.209999
2015-11-18,32.889999
2015-11-17,33.009998
2015-11-16,32.23
2015-11-13,32.779999
2015-11-12,33.200001
2015-11-11,34.209999
2015-11-10,33.450001
2015-11-09,34.07
2015-11-06,34.939999
2015-11-05,35.02
2015-11-04,34.889999
2015-11-03,35.150002
2015-11-02,35.459999
2015-10-30,35.139999
2015-10-29,34.869999
2015-10-28,34.299999
2015-10-27,34.970001
2015-10-26,33.130001
2015-10-23,32.650002
2015-10-22,31.26
2015-10-21,32.060001
2015-10-20,33.490002
2015-10-19,33.259998
2015-10-16,33.639999
2015-10-15,32.419998
2015-10-14,32.279999
2015-10-13,32.560001
2015-10-12,32.709999
2015-10-09,32.349998
2015-10-08,31.790001
2015-10-07,31.309999
2015-10-06,30.790001
2015-10-05,30.799999
2015-10-02,28.620001
2015-10-01,28.950001
2015-09-30,28.65
2015-09-29,28.58
2015-09-28,29.030001
2015-09-25,29.66
2015-09-24,29.469999
2015-09-23,30.559999
2015-09-22,30.780001
2015-09-21,31.200001
2015-09-18,30.51
2015-09-17,31.309999
2015-09-16,31.139999
2015-09-15,29.719999
2015-09-14,30.68
2015-09-11,31.09
2015-09-10,31.35
2015-09-09,30.4
